Category: All categories

Day,Legal separation: (United States)
2020-01-26,64
2020-01-27,74
2020-01-28,88
2020-01-29,94
2020-01-30,79
2020-01-31,75
2020-02-01,62
2020-02-02,80
2020-02-03,84
2020-02-04,77
2020-02-05,82
2020-02-06,63
2020-02-07,83
2020-02-08,71
2020-02-09,68
2020-02-10,69
2020-02-11,83
2020-02-12,79
2020-02-13,51
2020-02-14,68
2020-02-15,43
2020-02-16,74
2020-02-17,68
2020-02-18,86
2020-02-19,79
2020-02-20,72
2020-02-21,64
2020-02-22,45
2020-02-23,72
2020-02-24,57
2020-02-25,68
2020-02-26,71
2020-02-27,69
2020-02-28,89
2020-02-29,50
2020-03-01,77
2020-03-02,79
2020-03-03,68
2020-03-04,70
2020-03-05,52
2020-03-06,64
2020-03-07,65
2020-03-08,52
2020-03-09,53
2020-03-10,56
2020-03-11,56
2020-03-12,45
2020-03-13,52
2020-03-14,41
2020-03-15,43
2020-03-16,50
2020-03-17,53
2020-03-18,60
2020-03-19,50
2020-03-20,57
2020-03-21,51
2020-03-22,58
2020-03-23,46
2020-03-24,48
2020-03-25,69
2020-03-26,75
2020-03-27,63
2020-03-28,43
2020-03-29,77
2020-03-30,75
2020-03-31,53
2020-04-01,67
2020-04-02,63
2020-04-03,62
2020-04-04,56
2020-04-05,57
2020-04-06,58
2020-04-07,64
2020-04-08,69
2020-04-09,60
2020-04-10,59
2020-04-11,71
2020-04-12,62
2020-04-13,65
2020-04-14,66
2020-04-15,100
2020-04-16,82
2020-04-17,77
2020-04-18,50
2020-04-19,69
2020-04-20,66
2020-04-21,40
2020-04-22,62
2020-04-23,50
