Category: All categories

Day,Divorce: (United States)
2020-01-26,89
2020-01-27,100
2020-01-28,99
2020-01-29,94
2020-01-30,88
2020-01-31,86
2020-02-01,77
2020-02-02,85
2020-02-03,91
2020-02-04,88
2020-02-05,88
2020-02-06,85
2020-02-07,80
2020-02-08,79
2020-02-09,85
2020-02-10,92
2020-02-11,89
2020-02-12,81
2020-02-13,83
2020-02-14,75
2020-02-15,82
2020-02-16,89
2020-02-17,99
2020-02-18,99
2020-02-19,94
2020-02-20,81
2020-02-21,82
2020-02-22,79
2020-02-23,86
2020-02-24,93
2020-02-25,89
2020-02-26,87
2020-02-27,84
2020-02-28,79
2020-02-29,74
2020-03-01,81
2020-03-02,88
2020-03-03,80
2020-03-04,84
2020-03-05,82
2020-03-06,77
2020-03-07,73
2020-03-08,80
2020-03-09,82
2020-03-10,82
2020-03-11,75
2020-03-12,62
2020-03-13,60
2020-03-14,66
2020-03-15,68
2020-03-16,66
2020-03-17,64
2020-03-18,60
2020-03-19,61
2020-03-20,60
2020-03-21,60
2020-03-22,68
2020-03-23,63
2020-03-24,64
2020-03-25,66
2020-03-26,58
2020-03-27,63
2020-03-28,64
2020-03-29,78
2020-03-30,64
2020-03-31,67
2020-04-01,66
2020-04-02,80
2020-04-03,63
2020-04-04,69
2020-04-05,72
2020-04-06,85
2020-04-07,92
2020-04-08,75
2020-04-09,77
2020-04-10,72
2020-04-11,71
2020-04-12,78
2020-04-13,75
2020-04-14,75
2020-04-15,73
2020-04-16,73
2020-04-17,73
2020-04-18,75
2020-04-19,84
2020-04-20,76
2020-04-21,75
2020-04-22,70
2020-04-23,74
