Category: All categories

Day,domestic violence: (United States)
2020-01-26,60
2020-01-27,70
2020-01-28,75
2020-01-29,100
2020-01-30,92
2020-01-31,68
2020-02-01,55
2020-02-02,70
2020-02-03,98
2020-02-04,83
2020-02-05,83
2020-02-06,82
2020-02-07,85
2020-02-08,53
2020-02-09,56
2020-02-10,70
2020-02-11,76
2020-02-12,78
2020-02-13,79
2020-02-14,67
2020-02-15,53
2020-02-16,61
2020-02-17,66
2020-02-18,74
2020-02-19,81
2020-02-20,79
2020-02-21,82
2020-02-22,63
2020-02-23,61
2020-02-24,83
2020-02-25,97
2020-02-26,83
2020-02-27,79
2020-02-28,73
2020-02-29,60
2020-03-01,57
2020-03-02,85
2020-03-03,84
2020-03-04,87
2020-03-05,84
2020-03-06,59
2020-03-07,50
2020-03-08,65
2020-03-09,72
2020-03-10,78
2020-03-11,74
2020-03-12,73
2020-03-13,74
2020-03-14,49
2020-03-15,42
2020-03-16,64
2020-03-17,64
2020-03-18,55
2020-03-19,54
2020-03-20,58
2020-03-21,36
2020-03-22,52
2020-03-23,61
2020-03-24,68
2020-03-25,75
2020-03-26,66
2020-03-27,62
2020-03-28,59
2020-03-29,57
2020-03-30,69
2020-03-31,75
2020-04-01,66
2020-04-02,84
2020-04-03,73
2020-04-04,63
2020-04-05,71
2020-04-06,94
2020-04-07,83
2020-04-08,91
2020-04-09,81
2020-04-10,70
2020-04-11,65
2020-04-12,71
2020-04-13,75
2020-04-14,79
2020-04-15,72
2020-04-16,65
2020-04-17,66
2020-04-18,71
2020-04-19,76
2020-04-20,79
2020-04-21,83
2020-04-22,73
2020-04-23,75
